'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "ks_nurburgring, layout_sprint_b_prc"
Pole, "MrGrinder(01:40.8660)"
Lasted laps, "9"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "8", "01:40.8660", "-",
"2",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "9", "01:40.9910", "00:00.1250",
"3",   "", "", "ks_mazda_mx5_cup", "gunciz", "7", "01:41.0610", "00:00.1950",
"4",   "", "", "ks_mazda_mx5_cup", "Waffles", "9", "01:41.0930", "00:00.2270",
"5",   "", "", "ks_mazda_mx5_cup", "maestro", "7", "01:41.2740", "00:00.4080",
"6",   "", "", "ks_mazda_mx5_cup", "Trempale", "8", "01:41.4280", "00:00.5620",
"7",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "7", "01:41.5710", "00:00.7050",
"8",   "", "", "ks_mazda_mx5_cup", "xPsychedelix", "9", "01:41.7270", "00:00.8610",
"9",   "", "", "ks_mazda_mx5_cup", "Georgin", "8", "01:41.9110", "00:01.0450",
"10",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "7", "01:41.9330", "00:01.0670",
"11",   "", "", "ks_mazda_mx5_cup", "NotJames", "8", "01:41.9520", "00:01.0860",
"12",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:42.0410", "00:01.1750",
"13",   "", "", "ks_mazda_mx5_cup", "marzen224", "7", "01:42.5180", "00:01.6520",
"14",   "", "", "ks_mazda_mx5_cup", "nemaides", "6", "01:42.7100", "00:01.8440",
"15",   "", "", "ks_mazda_mx5_cup", "Horanjo", "8", "01:44.0880", "00:03.2220",
"16",   "", "", "ks_mazda_mx5_cup", "Viperion_NZ", "4", "01:45.1190", "00:04.2530",
"17",   "", "", "ks_mazda_mx5_cup", "summotion.", "7", "01:47.0370", "00:06.1710",
"18",   "", "", "ks_mazda_mx5_cup", "Smartpipe", "0", "-", "-",
"19",   "", "", "ks_mazda_mx5_cup", "Electro", "0", "-", "-",
"20",   "", "", "ks_mazda_mx5_cup", "Jifu", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"MrGrinder"
"1 ", ks_mazda_mx5_cup, no,"0", "02:07.7020", "67.6130", "60.0890", "-",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:41.9750", "48.8800", "53.0950", "-",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:41.9190", "48.3150", "53.6040", "-",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:41.2450", "48.3930", "52.8520", "-",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:41.1380", "48.4390", "52.6990", "-",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "03:11.5810", "138.6250", "52.9560", "-",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:41.0840", "48.3490", "52.7350", "-",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:40.8660", "48.2790", "52.5870", "-",  "F:H - R:H",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", ks_mazda_mx5_cup, no,"0", "01:43.3730", "49.8590", "53.5140", "-",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:41.4460", "48.5480", "52.8980", "-",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "02:57.0810", "124.2550", "52.8260", "-",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:41.1330", "48.3610", "52.7720", "-",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:42.4510", "49.4000", "53.0510", "-",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:41.6420", "48.7040", "52.9380", "-",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:41.2340", "48.3680", "52.8660", "-",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:41.7200", "49.0890", "52.6310", "-",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:40.9910", "48.3230", "52.6680", "-",  "F:H - R:H",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", ks_mazda_mx5_cup, no,"0", "01:44.1690", "51.6220", "52.5470", "-",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:41.2770", "48.5720", "52.7050", "-",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:41.5820", "48.8160", "52.7660", "-",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:41.3780", "48.6840", "52.6940", "-",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:41.4150", "48.6560", "52.7590", "-",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "03:18.0000", "145.5740", "52.4260", "-",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:41.0610", "48.3470", "52.7140", "-",  "F:H - R:H",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Waffles"
"1 ", ks_mazda_mx5_cup, no,"0", "01:50.6150", "57.0520", "53.5630", "-",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:42.5930", "48.3960", "54.1970", "-",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:43.3180", "50.3210", "52.9970", "-",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:41.5480", "48.7590", "52.7890", "-",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:41.8360", "48.3710", "53.4650", "-",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:41.7780", "49.0650", "52.7130", "-",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:41.1060", "48.0730", "53.0330", "-",  "F:H - R:H",     
