'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "oulton_park, island_prc"
Pole, "marzen224(01:36.5010)"
Lasted laps, "9"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "marzen224", "7", "01:36.5010", "-",
"2",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "8", "01:36.8910", "00:00.3900",
"3",   "", "", "ks_mazda_mx5_cup", "gunciz", "9", "01:36.9430", "00:00.4420",
"4",   "", "", "ks_mazda_mx5_cup", "Georgin", "7", "01:37.0680", "00:00.5670",
"5",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:37.1010", "00:00.6000",
"6",   "", "", "ks_mazda_mx5_cup", "Waffles", "7", "01:37.1190", "00:00.6180",
"7",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "7", "01:37.1440", "00:00.6430",
"8",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "9", "01:37.2170", "00:00.7160",
"9",   "", "", "ks_mazda_mx5_cup", "nemaides", "7", "01:37.3300", "00:00.8290",
"10",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:37.4610", "00:00.9600",
"11",   "", "", "ks_mazda_mx5_cup", "maestro", "8", "01:37.5050", "00:01.0040",
"12",   "", "", "ks_mazda_mx5_cup", "xPsychedelix", "7", "01:37.6760", "00:01.1750",
"13",   "", "", "ks_mazda_mx5_cup", "Viperion_NZ", "4", "01:37.7470", "00:01.2460",
"14",   "", "", "ks_mazda_mx5_cup", "NotJames", "7", "01:37.9260", "00:01.4250",
"15",   "", "", "ks_mazda_mx5_cup", "Smartpipe", "8", "01:38.0710", "00:01.5700",
"16",   "", "", "ks_mazda_mx5_cup", "Barricade", "7", "01:39.9330", "00:03.4320",
"17",   "", "", "ks_mazda_mx5_cup", "Horanjo", "8", "01:40.1490", "00:03.6480",
"18",   "", "", "ks_mazda_mx5_cup", "Jifu", "8", "01:42.2200", "00:05.7190",
"19",   "", "", "ks_mazda_mx5_cup", "JEMknight657", "0", "-", "-",
"20",   "", "", "ks_mazda_mx5_cup", "Trempale", "0", "-", "-",
"21",   "", "", "ks_mazda_mx5_cup", "Electro", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"marzen224"
"1 ", ks_mazda_mx5_cup, no,"0", "01:48.4340", "53.6240", "40.0690", "14.7410",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:37.4990", "44.9310", "37.9030", "14.6650",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:36.8960", "44.9930", "37.4050", "14.4980",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:36.5010", "44.7680", "37.3820", "14.3510",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "02:05.2770", "73.0540", "37.8400", "14.3830",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:36.7630", "44.4050", "37.7460", "14.6120",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:37.2770", "45.2400", "37.6150", "14.4220",  "F:H - R:H",     
Average,,,"01:42.6639", "50.1450", "37.9943", "14.5246"
Best possible,,, "01:36.1380", "44.4050", "37.3820", "14.3510"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", ks_mazda_mx5_cup, no,"0", "01:43.5700", "50.5380", "38.5190", "14.5130",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:37.3410", "44.9060", "37.7780", "14.6570",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:37.5230", "44.9900", "38.0070", "14.5260",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:42.9170", "44.7950", "37.6920", "20.4300",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:50.7250", "58.4660", "37.7820", "14.4770",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:37.3000", "45.1590", "37.6740", "14.4670",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:36.8910", "44.6820", "37.7000", "14.5090",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:37.5410", "44.9720", "37.9810", "14.5880",  "F:H - R:H",     
Average,,,"01:40.4760", "47.3135", "37.8916", "15.2709"
Best possible,,, "01:36.8230", "44.6820", "37.6740", "14.4670"

