'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "vir, north course_prc"
Pole, "NotJames(01:36.8420)"
Lasted laps, "9"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "NotJames", "8", "01:36.8420", "-",
"2",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:37.1050", "00:00.2630",
"3",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "9", "01:37.2720", "00:00.4300",
"4",   "", "", "ks_mazda_mx5_cup", "maestro", "8", "01:37.5420", "00:00.7000",
"5",   "", "", "ks_mazda_mx5_cup", "gunciz", "9", "01:37.5730", "00:00.7310",
"6",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "9", "01:37.7930", "00:00.9510",
"7",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "9", "01:37.7950", "00:00.9530",
"8",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:37.9240", "00:01.0820",
"9",   "", "", "ks_mazda_mx5_cup", "Viperion_NZ", "9", "01:38.1630", "00:01.3210",
"10",   "", "", "ks_mazda_mx5_cup", "marzen224", "7", "01:38.1840", "00:01.3420",
"11",   "", "", "ks_mazda_mx5_cup", "Georgin", "7", "01:38.2490", "00:01.4070",
"12",   "", "", "ks_mazda_mx5_cup", "Waffles", "6", "01:38.2560", "00:01.4140",
"13",   "", "", "ks_mazda_mx5_cup", "nemaides", "8", "01:38.2630", "00:01.4210",
"14",   "", "", "ks_mazda_mx5_cup", "Trempale", "4", "01:38.3100", "00:01.4680",
"15",   "", "", "ks_mazda_mx5_cup", "Horanjo", "7", "01:41.5290", "00:04.6870",
"16",   "", "", "ks_mazda_mx5_cup", "Electro", "0", "-", "-",
"17",   "", "", "ks_mazda_mx5_cup", "Jifu", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NotJames"
"1 ", ks_mazda_mx5_cup, no,"0", "01:54.9340", "59.8770", "22.0310", "33.0260",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:39.1040", "45.3930", "21.8340", "31.8770",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:38.1470", "44.9760", "21.6630", "31.5080",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:37.7520", "44.7420", "21.9730", "31.0370",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:37.3790", "44.7740", "21.6810", "30.9240",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "02:04.4370", "71.1750", "21.5900", "31.6720",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:38.3420", "44.4510", "22.6520", "31.2390",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:36.8420", "44.3630", "21.5780", "30.9010",  "F:H - R:H",     
Average,,,"01:43.3672", "49.9689", "21.8753", "31.5230"
Best possible,,, "01:36.8420", "44.3630", "21.5780", "30.9010"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"MrGrinder"
"1 ", ks_mazda_mx5_cup, no,"0", "02:30.3470", "97.2830", "21.9650", "31.0990",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:37.5310", "44.9980", "21.7440", "30.7890",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:39.1220", "44.5690", "21.6950", "32.8580",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:37.2300", "44.7240", "21.6580", "30.8480",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "02:59.1810", "118.2100", "26.7170", "34.2540",  "F:H - R:H",     
