'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "ks_zandvoort, zandvoort_prc"
Pole, "Electro(01:57.3070)"
Lasted laps, "8"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "Electro", "4", "01:57.3070", "-",
"2",   "", "", "ks_mazda_mx5_cup", "JEMknight657", "5", "01:57.3400", "00:00.0330",
"3",   "", "", "ks_mazda_mx5_cup", "Waffles", "8", "01:57.6540", "00:00.3470",
"4",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "7", "01:57.6780", "00:00.3710",
"5",   "", "", "ks_mazda_mx5_cup", "Salzeder", "7", "01:57.6810", "00:00.3740",
"6",   "", "", "ks_mazda_mx5_cup", "Georgin", "6", "01:57.6870", "00:00.3800",
"7",   "", "", "ks_mazda_mx5_cup", "NotJames", "6", "01:57.7300", "00:00.4230",
"8",   "", "", "ks_mazda_mx5_cup", "maestro", "7", "01:57.7730", "00:00.4660",
"9",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "5", "01:57.8920", "00:00.5850",
"10",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "8", "01:57.9570", "00:00.6500",
"11",   "", "", "ks_mazda_mx5_cup", "Trempale", "6", "01:58.2490", "00:00.9420",
"12",   "", "", "ks_mazda_mx5_cup", "xPsychedelix", "6", "01:58.2680", "00:00.9610",
"13",   "", "", "ks_mazda_mx5_cup", "gunciz", "7", "01:58.5320", "00:01.2250",
"14",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "6", "01:58.5790", "00:01.2720",
"15",   "", "", "ks_mazda_mx5_cup", "nemaides", "7", "01:58.8030", "00:01.4960",
"16",   "", "", "ks_mazda_mx5_cup", "Viperion_NZ", "7", "01:58.9300", "00:01.6230",
"17",   "", "", "ks_mazda_mx5_cup", "marzen224", "4", "01:59.2830", "00:01.9760",
"18",   "", "", "ks_mazda_mx5_cup", "Horanjo", "7", "01:59.3840", "00:02.0770",
"19",   "", "", "ks_mazda_mx5_cup", "Barricade", "6", "02:00.4030", "00:03.0960",
"20",   "", "", "ks_mazda_mx5_cup", "mitski s", "3", "02:00.7910", "00:03.4840",
"21",   "", "", "ks_mazda_mx5_cup", "Smartpipe", "0", "-", "-",
"22",   "", "", "ks_mazda_mx5_cup", "PilotLouie", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Electro"
"1 ", ks_mazda_mx5_cup, no,"0", "02:14.5280", "66.0160", "68.5120", "-",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:57.6600", "53.5530", "64.1070", "-",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "07:39.4450", "394.6900", "64.7550", "-",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:57.3070", "53.3840", "63.9230", "-",  "F:H - R:H",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"JEMknight657"
"1 ", ks_mazda_mx5_cup, no,"0", "01:58.4570", "54.5170", "63.9400", "-",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:57.4070", "53.5530", "63.8540", "-",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:57.3400", "53.5170", "63.8230", "-",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "02:31.4670", "83.6200", "67.8470", "-",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:57.4410", "53.1990", "64.2420", "-",  "F:H - R:H",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Waffles"
"1 ", ks_mazda_mx5_cup, no,"0", "02:09.4010", "62.7120", "66.6890", "-",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:59.1000", "54.4710", "64.6290", "-",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:58.2060", "53.9900", "64.2160", "-",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:58.4930", "53.7740", "64.7190", "-",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:58.2670", "53.6560", "64.6110", "-",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:57.7660", "53.5960", "64.1700", "-",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:57.6540", "53.6190", "64.0350", "-",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:58.1160", "53.6260", "64.4900", "-",  "F:H - R:H",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
