'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "hockenheim_2018"
Pole, "McLarenTim(01:28.5970)"
Lasted laps, "7"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "urd_t5_maures_2018", "McLarenTim", "6", "01:28.5970", "-",
"2",   "", "", "urd_t5_maures_2018", "PhotonBurst", "6", "01:28.7460", "00:00.1490",
"3",   "", "", "urd_t5_aura_2018", "gunciz", "5", "01:29.4850", "00:00.8880",
"4",   "", "", "urd_t5_aura_2018", "MrGrinder", "4", "01:29.5850", "00:00.9880",
"5",   "", "", "urd_t5_bayro_2018", "Trempale", "6", "01:29.7130", "00:01.1160",
"6",   "", "", "urd_t5_bayro_2018", "JEMknight657", "5", "01:30.1900", "00:01.5930",
"7",   "", "", "urd_t5_aura_2018", "Waffles", "6", "01:30.2990", "00:01.7020",
"8",   "", "", "urd_t5_bayro_2018", "Salzeder", "6", "01:30.3610", "00:01.7640",
"9",   "", "", "urd_t5_bayro_2018", "NotJames", "7", "01:30.4320", "00:01.8350",
"10",   "", "", "urd_t5_aura_2018", "xPsychedelix", "6", "01:30.4640", "00:01.8670",
"11",   "", "", "urd_t5_aura_2018", "gman197002", "6", "01:31.0840", "00:02.4870",
"12",   "", "", "urd_t5_bayro_2018", "Monochromatica", "6", "01:31.5370", "00:02.9400",
"13",   "", "", "urd_t5_bayro_2018", "NihonTiger", "0", "-", "-",
"14",   "", "", "urd_t5_maures_2018", "marzen224", "0", "-", "-",
"15",   "", "", "ford_transit", "Broadcast", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", urd_t5_maures_2018, no,"0", "01:39.9420", "29.5980", "42.6100", "27.7340",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:29.0860", "20.0600", "41.4370", "27.5890",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:28.5970", "19.9720", "41.3100", "27.3150",  "F:M - R:M",     
"4 ", urd_t5_maures_2018, no,"0", "01:53.8550", "39.7310", "43.7040", "30.4200",  "F:M - R:M",     
"5 ", urd_t5_maures_2018, no,"0", "01:30.4340", "19.9330", "42.7010", "27.8000",  "F:M - R:M",     
"6 ", urd_t5_maures_2018, no,"0", "01:31.0110", "20.5320", "43.0200", "27.4590",  "F:M - R:M",     
Average,,,"01:35.4875", "24.9710", "42.4637", "28.0528"
Best possible,,, "01:28.5580", "19.9330", "41.3100", "27.3150"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", urd_t5_maures_2018, no,"0", "01:41.8690", "31.1470", "42.9530", "27.7690",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:28.7460", "20.0310", "41.4760", "27.2390",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:29.7210", "20.0830", "41.4760", "28.1620",  "F:M - R:M",     
"4 ", urd_t5_maures_2018, no,"0", "02:01.1670", "50.2280", "42.5800", "28.3590",  "F:M - R:M",     
"5 ", urd_t5_maures_2018, no,"0", "02:28.6790", "78.5240", "42.4940", "27.6610",  "F:M - R:M",     
"6 ", urd_t5_maures_2018, no,"0", "01:29.0030", "20.0770", "41.4900", "27.4360",  "F:M - R:M",     
Average,,,"01:46.5309", "36.6817", "42.0782", "27.7710"
Best possible,,, "01:28.7460", "20.0310", "41.4760", "27.2390"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", urd_t5_aura_2018, no,"0", "01:46.1860", "33.9020", "44.0730", "28.2110",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:29.7850", "20.2600", "41.8230", "27.7020",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "03:09.0730", "114.7010", "46.2560", "28.1160",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:29.7710", "20.3950", "42.0070", "27.3690",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:29.4850", "20.1220", "41.7830", "27.5800",  "F:M - R:M",     
Average,,,"01:52.8600", "41.8760", "43.1884", "27.7956"
Best possible,,, "01:29.2740", "20.1220", "41.7830", "27.3690"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"MrGrinder"
"1 ", urd_t5_aura_2018, no,"0", "02:22.1650", "69.0810", "44.4600", "28.6240",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:29.6460", "20.1610", "41.8140", "27.6710",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:52.0860", "36.9000", "44.7570", "30.4290",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:29.5850", "20.1320", "41.7650", "27.6880",  "F:M - R:M",     
Average,,,"01:48.3705", "36.5685", "43.1990", "28.6030"
Best possible,,, "01:29.5680", "20.1320", "41.7650", "27.6710"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Trempale"
"1 ", urd_t5_bayro_2018, no,"0", "01:49.6630", "33.2710", "45.8140", "30.5780",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:29.7130", "20.3900", "41.7870", "27.5360",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:54.1570", "41.8460", "43.8480", "28.4630",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:29.8080", "20.2780", "41.7370", "27.7930",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:58.7270", "42.3490", "46.1110", "30.2670",  "F:M - R:M",     
