'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "ks_nurburgring, layout_sprint_a_prc"
Pole, "PhotonBurst(01:20.7450)"
Lasted laps, "7"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "urd_t5_maures_2018", "PhotonBurst", "6", "01:20.7450", "-",
"2",   "", "", "urd_t5_maures_2018", "McLarenTim", "7", "01:20.7880", "00:00.0430",
"3",   "", "", "urd_t5_aura_2018", "gunciz", "6", "01:20.9890", "00:00.2440",
"4",   "", "", "urd_t5_aura_2018", "MrGrinder", "5", "01:21.1800", "00:00.4350",
"5",   "", "", "urd_t5_bayro_2018", "JEMknight657", "7", "01:21.2880", "00:00.5430",
"6",   "", "", "urd_t5_aura_2018", "Waffles", "7", "01:21.5500", "00:00.8050",
"7",   "", "", "urd_t5_aura_2018", "xPsychedelix", "6", "01:21.6270", "00:00.8820",
"8",   "", "", "urd_t5_aura_2018", "gman197002", "7", "01:21.7810", "00:01.0360",
"9",   "", "", "urd_t5_bayro_2018", "NotJames", "6", "01:22.4760", "00:01.7310",
"10",   "", "", "urd_t5_bayro_2018", "Salzeder", "5", "01:22.7770", "00:02.0320",
"11",   "", "", "urd_t5_bayro_2018", "NihonTiger", "6", "01:22.9340", "00:02.1890",
"12",   "", "", "urd_t5_bayro_2018", "Trempale", "2", "01:22.9380", "00:02.1930",
"13",   "", "", "urd_t5_bayro_2018", "Phin", "6", "01:23.0650", "00:02.3200",
"14",   "", "", "urd_t5_bayro_2018", "monochromatic", "5", "01:24.4170", "00:03.6720",
"15",   "", "", "urd_t5_bayro_2018", "Horanjo", "0", "-", "-",
"16",   "", "", "ford_transit", "Broadcast", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", urd_t5_maures_2018, no,"0", "01:28.3960", "44.1740", "44.2220", "-",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:21.0640", "38.1470", "42.9170", "-",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:20.7450", "38.0400", "42.7050", "-",  "F:M - R:M",     
"4 ", urd_t5_maures_2018, no,"0", "02:28.5580", "104.0530", "44.5050", "-",  "F:M - R:M",     
"5 ", urd_t5_maures_2018, no,"0", "01:20.7850", "38.0130", "42.7720", "-",  "F:M - R:M",     
"6 ", urd_t5_maures_2018, no,"0", "01:20.9240", "38.2290", "42.6950", "-",  "F:M - R:M",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", urd_t5_maures_2018, no,"0", "01:31.6810", "46.9650", "44.7160", "-",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:20.9160", "38.2420", "42.6740", "-",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:20.7880", "38.1150", "42.6730", "-",  "F:M - R:M",     
"4 ", urd_t5_maures_2018, no,"0", "01:54.4670", "69.9130", "44.5540", "-",  "F:M - R:M",     
"5 ", urd_t5_maures_2018, no,"0", "01:21.1200", "38.0190", "43.1010", "-",  "F:M - R:M",     
"6 ", urd_t5_maures_2018, no,"0", "01:21.8090", "38.0880", "43.7210", "-",  "F:M - R:M",     
"7 ", urd_t5_maures_2018, no,"0", "01:20.9260", "38.1220", "42.8040", "-",  "F:M - R:M",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
