'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "ttassen, autosport_prc"
Pole, "McLarenTim(01:42.8560)"
Lasted laps, "6"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_porsche_cayman_gt4_clubsport", "McLarenTim", "4", "01:42.8560", "-",
"2",   "", "", "ks_porsche_cayman_gt4_clubsport", "PhotonBurst", "5", "01:43.6160", "00:00.7600",
"3",   "", "", "ks_porsche_cayman_gt4_clubsport", "MrGrinder", "4", "01:44.2670", "00:01.4110",
"4",   "", "", "ks_porsche_cayman_gt4_clubsport", "gunciz", "5", "01:44.3090", "00:01.4530",
"5",   "", "", "ks_porsche_cayman_gt4_clubsport", "Electro", "5", "01:44.3860", "00:01.5300",
"6",   "", "", "ks_porsche_cayman_gt4_clubsport", "NotJames", "6", "01:44.3890", "00:01.5330",
"7",   "", "", "ks_porsche_cayman_gt4_clubsport", "Waffles", "5", "01:45.1590", "00:02.3030",
"8",   "", "", "ks_porsche_cayman_gt4_clubsport", "gman197002", "6", "01:45.7990", "00:02.9430",
"9",   "", "", "ks_porsche_cayman_gt4_clubsport", "Echo51", "4", "01:45.9030", "00:03.0470",
"10",   "", "", "ks_porsche_cayman_gt4_clubsport", "Salzeder", "4", "01:45.9120", "00:03.0560",
"11",   "", "", "ks_porsche_cayman_gt4_clubsport", "Georgin", "6", "01:46.2760", "00:03.4200",
"12",   "", "", "ks_porsche_cayman_gt4_clubsport", "koolkei", "4", "01:46.7320", "00:03.8760",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:51.3630", "41.1000", "18.2970", "28.3490",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:43.3380", "33.1920", "18.1890", "28.2280",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:42.8560", "33.1470", "18.0810", "28.1110",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:43.4020", "33.1790", "18.0720", "28.4670",  "F:H - R:H",     
Average,,,"01:21.6031", "35.1545", "18.1598", "28.2888"
Best possible,,, "01:19.3300", "33.1470", "18.0720", "28.1110"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:59.7470", "44.9760", "18.7730", "30.8710",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:43.9440", "33.5770", "18.2610", "28.1790",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:49.1550", "98.8150", "18.2250", "28.3550",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:43.6160", "33.3350", "18.3610", "28.3590",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:43.8810", "33.2440", "18.3010", "28.3060",  "F:H - R:H",     
Average,,,"01:35.9876", "48.7894", "18.3842", "28.8140"
Best possible,,, "01:19.6480", "33.2440", "18.2250", "28.1790"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"MrGrinder"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:09.1700", "54.6500", "19.2780", "29.8180",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.2670", "33.7210", "18.2570", "28.5340",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:26.5400", "70.0130", "18.3160", "34.2400",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.5730", "33.3740", "18.4320", "28.9890",  "F:H - R:H",     
Average,,,"01:36.9056", "47.9395", "18.5708", "30.3953"
Best possible,,, "01:20.1650", "33.3740", "18.2570", "28.5340"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:55.7940", "44.2970", "18.5450", "29.0740",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.8490", "33.7900", "18.2390", "28.5610",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.6090", "33.5720", "18.3470", "28.5070",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.8350", "33.8330", "18.2930", "28.5070",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.3090", "33.4700", "18.3790", "28.6690",  "F:H - R:H",     
Average,,,"01:22.8166", "35.7924", "18.3606", "28.6636"
Best possible,,, "01:20.2160", "33.4700", "18.2390", "28.5070"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Electro"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:57.2660", "45.5010", "18.7240", "29.1380",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.5380", "33.8330", "18.3650", "28.4090",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.8500", "33.7720", "18.7160", "28.5200",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.3860", "33.6910", "18.7470", "28.1970",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.7210", "33.6570", "18.4360", "28.5610",  "F:H - R:H",     
