'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "hockenheim_2018"
Pole, "McLarenTim(01:44.9640)"
Lasted laps, "6"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_porsche_cayman_gt4_clubsport", "McLarenTim", "6", "01:44.9640", "-",
"2",   "", "", "ks_porsche_cayman_gt4_clubsport", "PhotonBurst", "6", "01:45.0720", "00:00.1080",
"3",   "", "", "ks_porsche_cayman_gt4_clubsport", "Electro", "5", "01:45.1380", "00:00.1740",
"4",   "", "", "ks_porsche_cayman_gt4_clubsport", "gunciz", "5", "01:45.3890", "00:00.4250",
"5",   "", "", "ks_porsche_cayman_gt4_clubsport", "NotJames", "5", "01:45.4360", "00:00.4720",
"6",   "", "", "ks_porsche_cayman_gt4_clubsport", "gman197002", "5", "01:45.9630", "00:00.9990",
"7",   "", "", "ks_porsche_cayman_gt4_clubsport", "MrGrinder", "5", "01:45.9670", "00:01.0030",
"8",   "", "", "ks_porsche_cayman_gt4_clubsport", "Salzeder", "4", "01:46.0310", "00:01.0670",
"9",   "", "", "ks_porsche_cayman_gt4_clubsport", "Georgin", "5", "01:46.3640", "00:01.4000",
"10",   "", "", "ks_porsche_cayman_gt4_clubsport", "Echo51", "5", "01:47.1750", "00:02.2110",
"11",   "", "", "ks_porsche_cayman_gt4_clubsport", "Crosdale", "4", "01:47.7180", "00:02.7540",
"12",   "", "", "ks_porsche_cayman_gt4_clubsport", "Trempale", "0", "-", "-",
"13",   "", "", "ks_porsche_cayman_gt4_clubsport", "Waffles", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:54.4460", "32.3570", "48.2220", "33.8670",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.3290", "23.9790", "48.1230", "33.2270",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:10.5970", "48.9890", "48.6860", "32.9220",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.9640", "23.9230", "48.1860", "32.8550",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.9890", "23.8000", "48.2000", "32.9890",  "F:H - R:H",     
"6 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.0890", "23.9000", "48.1690", "33.0200",  "F:H - R:H",     
Average,,,"01:50.9023", "29.4913", "48.2643", "33.1467"
Best possible,,, "01:44.7780", "23.8000", "48.1230", "32.8550"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:55.0360", "33.5410", "48.5370", "32.9580",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.0720", "23.9680", "48.2670", "32.8370",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:22.0780", "60.5380", "48.4380", "33.1020",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.2880", "24.0900", "48.1490", "33.0490",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:47.1170", "24.2680", "48.2490", "34.6000",  "F:H - R:H",     
"6 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.3930", "24.1850", "48.0330", "33.1750",  "F:H - R:H",     
Average,,,"01:53.3306", "31.7650", "48.2788", "33.2868"
Best possible,,, "01:44.8380", "23.9680", "48.0330", "32.8370"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Electro"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:55.6930", "32.9830", "48.9290", "33.7810",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:49.5900", "24.1620", "50.0170", "35.4110",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.3810", "23.7410", "48.4520", "33.1880",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.2280", "23.8990", "48.2490", "33.0800",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.1380", "23.8990", "48.1630", "33.0760",  "F:H - R:H",     
Average,,,"01:48.2060", "25.7368", "48.7620", "33.7072"
Best possible,,, "01:44.9800", "23.7410", "48.1630", "33.0760"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:57.5260", "34.1540", "48.8660", "34.5060",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.9800", "24.0130", "48.4420", "33.5250",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:15.2100", "52.8680", "48.5960", "33.7460",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.7230", "23.9300", "48.3400", "33.4530",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.3890", "23.8180", "48.1270", "33.4440",  "F:H - R:H",     
Average,,,"01:53.9656", "31.7566", "48.4742", "33.7348"
Best possible,,, "01:45.3890", "23.8180", "48.1270", "33.4440"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NotJames"
