'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "doningtonpark2018, national_prc"
Pole, "PhotonBurst(01:17.7580)"
Lasted laps, "11"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "10", "01:17.7580", "-",
"2",   "", "", "ks_mazda_mx5_cup", "sharkeh", "9", "01:17.9110", "00:00.1530",
"3",   "", "", "ks_mazda_mx5_cup", "JEMknight657", "9", "01:18.0860", "00:00.3280",
"4",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "11", "01:18.1150", "00:00.3570",
"5",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:18.1510", "00:00.3930",
"6",   "", "", "ks_mazda_mx5_cup", "Electro", "11", "01:18.1560", "00:00.3980",
"7",   "", "", "ks_mazda_mx5_cup", "gunciz", "11", "01:18.1880", "00:00.4300",
"8",   "", "", "ks_mazda_mx5_cup", "Smartpipe", "9", "01:18.4720", "00:00.7140",
"9",   "", "", "ks_mazda_mx5_cup", "Trempale", "8", "01:18.6840", "00:00.9260",
"10",   "", "", "ks_mazda_mx5_cup", "Salzeder", "8", "01:18.9320", "00:01.1740",
"11",   "", "", "ks_mazda_mx5_cup", "maestro", "10", "01:18.9990", "00:01.2410",
"12",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "10", "01:19.0050", "00:01.2470",
"13",   "", "", "ks_mazda_mx5_cup", "NotJames", "9", "01:19.0440", "00:01.2860",
"14",   "", "", "ks_mazda_mx5_cup", "Georgin", "7", "01:19.4050", "00:01.6470",
"15",   "", "", "ks_mazda_mx5_cup", "xPsychedelix", "8", "01:19.5330", "00:01.7750",
"16",   "", "", "ks_mazda_mx5_cup", "gman197002", "11", "01:19.9170", "00:02.1590",
"17",   "", "", "ks_mazda_mx5_cup", "Crosdale", "8", "01:19.9820", "00:02.2240",
"18",   "", "", "ks_mazda_mx5_cup", "swordhaven", "7", "01:20.2100", "00:02.4520",
"19",   "", "", "ks_mazda_mx5_cup", "Horanjo", "10", "01:21.6090", "00:03.8510",
"20",   "", "", "ks_mazda_mx5_cup", "Viperion_NZ", "9", "01:21.7450", "00:03.9870",
"21",   "", "", "ks_mazda_mx5_cup", "Sakia", "7", "01:23.3350", "00:05.5770",
"22",   "", "", "ks_mazda_mx5_cup", "Waffles", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", ks_mazda_mx5_cup, no,"0", "01:29.3190", "42.2490", "28.7320", "18.3380",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:17.9220", "30.7070", "28.7650", "18.4500",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:48.3510", "60.7140", "29.2990", "18.3380",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:17.9660", "30.7620", "28.8040", "18.4000",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:18.2530", "30.9170", "28.7730", "18.5630",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "02:06.1760", "79.3720", "28.5350", "18.2690",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:17.8610", "30.8540", "28.4950", "18.5120",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:17.7580", "30.7830", "28.5570", "18.4180",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:20.4030", "30.7900", "28.7690", "20.8440",  "F:H - R:H",     
"10 ", ks_mazda_mx5_cup, no,"0", "01:18.7850", "30.9330", "29.3170", "18.5350",  "F:H - R:H",     
Average,,,"01:27.2794", "39.8081", "28.8046", "18.6667"
Best possible,,, "01:17.4710", "30.7070", "28.4950", "18.2690"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"sharkeh"
"1 ", ks_mazda_mx5_cup, no,"0", "01:35.1560", "46.9700", "29.5650", "18.6210",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:18.5680", "31.0980", "28.7910", "18.6790",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:17.9540", "30.8210", "28.5760", "18.5570",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:18.1000", "30.7600", "28.6740", "18.6660",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "02:48.9980", "121.9420", "28.6020", "18.4540",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:17.9110", "30.7510", "28.5030", "18.6570",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:18.5480", "30.9470", "28.8270", "18.7740",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:18.8250", "31.0390", "29.1510", "18.6350",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:20.6980", "30.8060", "30.0600", "19.8320",  "F:H - R:H",     
Average,,,"01:30.5287", "42.7927", "28.9721", "18.7639"
Best possible,,, "01:17.7080", "30.7510", "28.5030", "18.4540"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"JEMknight657"
"1 ", ks_mazda_mx5_cup, no,"0", "02:03.3030", "76.0700", "28.6930", "18.5400",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:18.7540", "30.9190", "29.3720", "18.4630",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "03:13.3970", "138.4070", "33.0170", "21.9730",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:18.4690", "31.0120", "28.8990", "18.5580",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:18.5220", "31.0550", "28.8910", "18.5760",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "02:21.3800", "91.8760", "30.7480", "18.7560",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:18.8150", "31.0800", "29.0520", "18.6830",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:18.1220", "30.8500", "28.8270", "18.4450",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:18.0860", "30.7830", "28.8670", "18.4360",  "F:H - R:H",     
Average,,,"01:43.2053", "54.6724", "29.5962", "18.9367"
Best possible,,, "01:17.9120", "30.7830", "28.6930", "18.4360"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", ks_mazda_mx5_cup, no,"0", "01:31.8980", "43.9330", "29.3540", "18.6110",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:18.3700", "31.0070", "28.8810", "18.4820",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:18.7910", "31.0560", "28.9750", "18.7600",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:18.4280", "31.0260", "28.7810", "18.6210",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:18.7480", "30.8640", "29.2500", "18.6340",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:18.1890", "30.9840", "28.8080", "18.3970",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:18.1150", "30.8420", "28.7510", "18.5220",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:18.3870", "30.8530", "28.9620", "18.5720",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:18.5870", "30.9150", "28.9030", "18.7690",  "F:H - R:H",     
"10 ", ks_mazda_mx5_cup, no,"0", "01:18.5500", "30.8820", "29.0650", "18.6030",  "F:H - R:H",     
"11 ", ks_mazda_mx5_cup, no,"0", "01:18.4320", "30.8670", "28.8760", "18.6890",  "F:H - R:H",     
Average,,,"01:19.6814", "32.1117", "28.9642", "18.6055"
Best possible,,, "01:17.9900", "30.8420", "28.7510", "18.3970"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"MrGrinder"
"1 ", ks_mazda_mx5_cup, no,"0", "01:43.1380", "53.5170", "30.2530", "19.3680",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:18.4680", "31.0550", "28.9630", "18.4500",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "04:18.0110", "210.4110", "28.8940", "18.7060",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:20.7870", "31.4750", "30.6090", "18.7030",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:18.1510", "30.8520", "28.8350", "18.4640",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "02:41.7620", "112.6230", "30.3200", "18.8190",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:22.9830", "30.7060", "29.5600", "22.7170",  "F:H - R:H",     
Average,,,"02:00.4714", "71.5199", "29.6334", "19.3181"
Best possible,,, "01:17.9910", "30.7060", "28.8350", "18.4500"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Electro"
"1 ", ks_mazda_mx5_cup, no,"0", "01:27.1380", "39.7160", "28.7600", "18.6620",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:18.4610", "31.0320", "28.8180", "18.6110",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:18.8650", "31.1690", "29.0250", "18.6710",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:18.8280", "31.0780", "28.9620", "18.7880",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "02:33.7780", "106.1770", "28.6970", "18.9040",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:18.7010", "30.9610", "28.7550", "18.9850",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:18.4690", "31.0160", "28.8590", "18.5940",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:18.5620", "30.9740", "29.0710", "18.5170",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:18.2020", "30.8390", "28.7460", "18.6170",  "F:H - R:H",     
"10 ", ks_mazda_mx5_cup, no,"0", "01:44.5590", "56.7420", "29.1870", "18.6300",  "F:H - R:H",     
"11 ", ks_mazda_mx5_cup, no,"0", "01:18.1560", "30.8110", "28.7240", "18.6210",  "F:H - R:H",     
Average,,,"01:28.5199", "40.9559", "28.8731", "18.6909"
Best possible,,, "01:18.0250", "30.8110", "28.6970", "18.5170"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", ks_mazda_mx5_cup, no,"0", "01:37.2330", "49.0560", "29.6050", "18.5720",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:18.3310", "31.0310", "28.8320", "18.4680",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "02:08.0760", "74.7590", "33.8580", "19.4590",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:19.4290", "31.1170", "29.4440", "18.8680",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:18.6430", "30.9830", "29.1740", "18.4860",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:18.2870", "31.0330", "28.7550", "18.4990",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:18.4560", "31.1420", "28.8450", "18.4690",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:48.1700", "60.2820", "28.8270", "19.0610",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:18.1900", "30.8540", "28.8950", "18.4410",  "F:H - R:H",     
"10 ", ks_mazda_mx5_cup, no,"0", "01:18.2110", "30.9200", "28.7290", "18.5620",  "F:H - R:H",     
"11 ", ks_mazda_mx5_cup, no,"0", "01:18.1880", "30.9560", "28.7820", "18.4500",  "F:H - R:H",     
Average,,,"01:27.3831", "39.2848", "29.4315", "18.6668"
Best possible,,, "01:18.0240", "30.8540", "28.7290", "18.4410"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Smartpipe"
"1 ", ks_mazda_mx5_cup, no,"0", "01:48.9770", "57.9300", "30.7980", "20.2490",  "F:H - R:H",     
