'+++++++++++++++++++++
Practice
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Practice"
Track:, "zolder, zolder2017online_prc"
"
Best lap, "McLarenTim (01:25.1280)"
Lasted laps, "5"
Host, "Unknown"



Practice result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Timberwolves Racing", "urd_t5_maures_2018", "McLarenTim", "3", "01:25.1280", "-",
"2",   "", "", "urd_t5_bayro_2018", "JEMknight657", "5", "01:26.0720", "00:00.9440",
"3",   "", "Timberwolves Racing", "urd_t5_maures_2018", "PhotonBurst", "4", "01:26.1380", "00:01.0100",
"4",   "", "", "urd_t5_aura_2018", "Waffles", "5", "01:26.5740", "00:01.4460",
"5",   "", "PRT Gold", "urd_t5_aura_2018", "MrGrinder", "3", "01:26.6030", "00:01.4750",
"6",   "", "PRT Gold", "urd_t5_aura_2018", "gunciz", "2", "01:27.2140", "00:02.0860",
"7",   "", "PRT Black", "urd_t5_aura_2018", "gman197002", "5", "01:27.6830", "00:02.5550",
"8",   "", "Monterey SimSport", "urd_t5_bayro_2018", "NotJames", "4", "01:27.7010", "00:02.5730",
"9",   "", "PRT Black", "urd_t5_aura_2018", "Viperion_NZ", "4", "01:28.5570", "00:03.4290",
"10",   "", "M Power", "urd_t5_bayro_2018", "bacsi97", "3", "01:28.6960", "00:03.5680",
"11",   "", "Monterey SimSport", "urd_t5_bayro_2018", "Trempale", "4", "01:30.0720", "00:04.9440",
"12",   "", "", "urd_t5_bayro_2018", "marzen224", "3", "01:30.7110", "00:05.5830",
"13",   "", "", "urd_t5_bayro_2018", "NihonTiger", "2", "01:34.1050", "00:08.9770",
"14",   "", "M Power", "urd_t5_bayro_2018", "SBD", "1", "03:47.6160", "02:22.4880",
"15",   "", "", "urd_t5_bayro_2018", "SouP", "0", "-", "-",
"16",   "", "", "urd_t5_bayro_2018", "007mnbb", "0", "-", "-",
"17",   "", "", "ford_transit", "Broadcast", "0", "-", "-",

Practice laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", urd_t5_maures_2018, no,"0", "03:31.2670", "151.7180", "30.8210", "28.7280",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "03:18.6040", "139.5680", "30.6810", "28.3550",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:25.1280", "27.3740", "29.6690", "28.0850",  "F:M - R:M",     
Average,,,"02:44.9996", "106.2200", "30.3903", "28.3893"
Best possible,,, "01:25.1280", "27.3740", "29.6690", "28.0850"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"JEMknight657"
"1 ", urd_t5_bayro_2018, no,"0", "01:53.7840", "53.8120", "31.1720", "28.8000",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:28.7440", "29.0290", "30.3570", "29.3580",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:26.0720", "27.0960", "30.2850", "28.6910",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:26.3840", "27.4480", "30.2530", "28.6830",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:26.2040", "27.3720", "30.2440", "28.5880",  "F:M - R:M",     
Average,,,"01:32.2376", "32.9514", "30.4622", "28.8240"
Best possible,,, "01:25.9280", "27.0960", "30.2440", "28.5880"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", urd_t5_maures_2018, no,"0", "04:49.9670", "229.6130", "31.2530", "29.1010",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:31.7350", "32.5600", "30.3700", "28.8050",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "02:19.2000", "76.8790", "32.4410", "29.8800",  "F:M - R:M",     
