'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "ks_nurburgring, layout_sprint_a_prc"
Pole, "PhotonBurst(01:32.9400)"
Lasted laps, "6"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_porsche_cayman_gt4_clubsport", "PhotonBurst", "6", "01:32.9400", "-",
"2",   "", "", "ks_porsche_cayman_gt4_clubsport", "McLarenTim", "6", "01:33.2540", "00:00.3140",
"3",   "", "", "ks_porsche_cayman_gt4_clubsport", "Waffles", "6", "01:34.0250", "00:01.0850",
"4",   "", "", "ks_porsche_cayman_gt4_clubsport", "NotJames", "6", "01:34.0270", "00:01.0870",
"5",   "", "", "ks_porsche_cayman_gt4_clubsport", "gunciz", "6", "01:34.0340", "00:01.0940",
"6",   "", "", "ks_porsche_cayman_gt4_clubsport", "MrGrinder", "5", "01:34.0930", "00:01.1530",
"7",   "", "", "ks_porsche_cayman_gt4_clubsport", "Trempale", "6", "01:34.2710", "00:01.3310",
"8",   "", "", "ks_porsche_cayman_gt4_clubsport", "Electro", "6", "01:34.3650", "00:01.4250",
"9",   "", "", "ks_porsche_cayman_gt4_clubsport", "Georgin", "6", "01:34.9560", "00:02.0160",
"10",   "", "", "ks_porsche_cayman_gt4_clubsport", "Salzeder", "5", "01:35.0490", "00:02.1090",
"11",   "", "", "ks_porsche_cayman_gt4_clubsport", "gman197002", "5", "01:35.6670", "00:02.7270",
"12",   "", "", "ks_porsche_cayman_gt4_clubsport", "Echo51", "6", "01:35.7820", "00:02.8420",
"13",   "", "", "ks_porsche_cayman_gt4_clubsport", "Horanjo", "6", "01:37.3860", "00:04.4460",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:33.7840", "43.7840", "50.0000", "-",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:33.2190", "43.8450", "49.3740", "-",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:33.3300", "43.7130", "49.6170", "-",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "02:29.0800", "99.2700", "49.8100", "-",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:33.0160", "43.5300", "49.4860", "-",  "F:H - R:H",     
"6 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:32.9400", "43.5650", "49.3750", "-",  "F:H - R:H",     

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:37.6880", "46.6090", "51.0790", "-",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:33.3140", "43.4140", "49.9000", "-",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:35.2950", "43.6840", "51.6110", "-",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:33.7980", "43.6950", "50.1030", "-",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:33.3160", "43.5770", "49.7390", "-",  "F:H - R:H",     
"6 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:33.2540", "43.6060", "49.6480", "-",  "F:H - R:H",     

